Model,MSE,CPU Latency (ms),File Size (KB)
LSTM_60_15_FP,0.224,1.42,815.26
LSTM_60_15_Quantized,0.223,1.60,215.23
LSTM_48_12_FP,0.280,1.11,807.89
LSTM_48_12_Quantized,0.280,1.22,213.29
LSTM_100_25_FP,0.257,1.21,841.82
LSTM_100_25_Quantized,0.256,1.34,222.04
LSTM_128_32_FP,0.278,1.82,862.07
LSTM_128_32_Quantized,0.278,2.41,227.10
LSTM_160_40_FP,0.219,1.25,1341.82
LSTM_160_40_Quantized,0.215,1.36,348.66
LSTM_200_160_40_FP,0.223,1.25,2044.95
LSTM_200_160_40_Quantized,0.224,1.23,526.35
LSTM_400_160_40_FP,0.374,1.90,7810.64
LSTM_400_160_40_Quantized,0.373,1.56,1977.10
LSTM_400_320_80_FP,0.255,1.67,8136.51
LSTM_400_320_80_Quantized,0.250,1.28,2059.16
